"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Garrett Celek",2600,"NE@SF 04:25PM ET",4.167,"SF"
"DST","Redskins ",2600,"GB@Was 08:30PM ET",6.556,"Was"
"TE","David Johnson",2500,"Pit@Cle 01:00PM ET",1.144,"Pit"
"TE","Ladarius Green",2500,"Pit@Cle 01:00PM ET",6.000,"Pit"
"TE","Xavier Grimble",2500,"Pit@Cle 01:00PM ET",2.867,"Pit"
"TE","Randall Telfer",2500,"Pit@Cle 01:00PM ET",0.088,"Cle"
"TE","Seth DeValve",2500,"Pit@Cle 01:00PM ET",1.833,"Cle"
"TE","Danny Vitale",2500,"Pit@Cle 01:00PM ET",0.000,"Cle"
"TE","Gavin Escobar",2500,"Bal@Dal 01:00PM ET",0.800,"Dal"
"TE","Crockett Gillmore",2500,"Bal@Dal 01:00PM ET",3.014,"Bal"
"TE","Darren Waller",2500,"Bal@Dal 01:00PM ET",2.620,"Bal"
"TE","Geoff Swaim",2500,"Bal@Dal 01:00PM ET",1.433,"Dal"
"DST","Ravens ",2500,"Bal@Dal 01:00PM ET",9.889,"Bal"
"TE","Marcedes Lewis",2500,"Jax@Det 01:00PM ET",4.367,"Jax"
"TE","Clay Harbor",2500,"Jax@Det 01:00PM ET",0.613,"Det"
"TE","Matthew Mulligan",2500,"Jax@Det 01:00PM ET",0.000,"Det"
"TE","Neal Sterling",2500,"Jax@Det 01:00PM ET",0.400,"Jax"
"TE","Ben Koyack",2500,"Jax@Det 01:00PM ET",2.229,"Jax"
"TE","Anthony Fasano",2500,"Ten@Ind 01:00PM ET",2.340,"Ten"
"TE","Beau Brinkley",2500,"Ten@Ind 01:00PM ET",0.000,"Ten"
"TE","Erik Swoope",2500,"Ten@Ind 01:00PM ET",2.222,"Ind"
"TE","Jace Amaro",2500,"Ten@Ind 01:00PM ET",2.967,"Ten"
"TE","Phillip Supernaw",2500,"Ten@Ind 01:00PM ET",1.020,"Ten"
"TE","Clark Harris",2500,"Buf@Cin 01:00PM ET",0.000,"Cin"
"TE","Ryan Hewitt",2500,"Buf@Cin 01:00PM ET",0.000,"Cin"
"TE","Gerald Christian",2500,"Buf@Cin 01:00PM ET",0.000,"Buf"
