"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Knile Davis",3500,"TB@KC 01:00PM ET",1.100,"KC"
"DST","Giants ",3500,"Chi@NYG 01:00PM ET",6.556,"NYG"
"RB","Andre Ellington",3500,"Ari@Min 01:00PM ET",1.544,"Ari"
"RB","Jerick McKinnon",3500,"Ari@Min 01:00PM ET",5.963,"Min"
"WR","Cordarrelle Patterson",3500,"Ari@Min 01:00PM ET",7.678,"Min"
"WR","Danny Amendola",3500,"NE@SF 04:25PM ET",6.033,"NE"
"WR","Jeremy Kerley",3500,"NE@SF 04:25PM ET",11.378,"SF"
"RB","Matt Jones",3500,"GB@Was 08:30PM ET",10.413,"Was"
"TE","Jesse James",3400,"Pit@Cle 01:00PM ET",7.678,"Pit"
"WR","Breshad Perriman",3400,"Bal@Dal 01:00PM ET",6.022,"Bal"
"RB","Robert Turbin",3400,"Ten@Ind 01:00PM ET",5.075,"Ind"
"WR","Albert Wilson",3400,"TB@KC 01:00PM ET",4.511,"KC"
"DST","Chiefs ",3400,"TB@KC 01:00PM ET",10.778,"KC"
"WR","Eddie Royal",3400,"Chi@NYG 01:00PM ET",12.457,"Chi"
"WR","Brian Quick",3400,"Mia@LA 04:05PM ET",9.567,"LA"
"WR","Torrey Smith",3400,"NE@SF 04:25PM ET",5.922,"SF"
"WR","Kamar Aiken",3300,"Bal@Dal 01:00PM ET",3.678,"Bal"
"WR","Terrance Williams",3300,"Bal@Dal 01:00PM ET",7.333,"Dal"
"TE","Jason Witten",3300,"Bal@Dal 01:00PM ET",11.922,"Dal"
"WR","Phillip Dorsett",3300,"Ten@Ind 01:00PM ET",7.213,"Ind"
"TE","Jack Doyle",3300,"Ten@Ind 01:00PM ET",10.878,"Ind"
"WR","Percy Harvin",3300,"Buf@Cin 01:00PM ET",0.000,"Buf"
