"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16939-28473","RB","Carlos","","Hyde","13.342857360839844","7","6500","NE@SF","SF","NE","","","",""
"16939-31561","WR","Donte","","Moncrief","10.449999809265137","4","6500","TEN@IND","IND","TEN","","","",""
"16939-29587","QB","Cody","","Kessler","10.605713980538505","7","6500","PIT@CLE","CLE","PIT","","","",""
"16939-14257","WR","Randall","","Cobb","10.887499809265137","8","6500","GB@WAS","GB","WAS","","","",""
"16939-14336","RB","Jacquizz","","Rodgers","9.266666412353516","6","6400","TB@KC","TB","KC","Q","Foot","",""
"16939-7283","WR","Jeremy","","Maclin","8.0625","8","6400","TB@KC","KC","TB","O","Groin","",""
"16939-22994","QB","Case","","Keenum","13.428888956705729","9","6400","MIA@LA","LA","MIA","","","",""
"16939-6863","TE","Delanie","","Walker","12.044444613986546","9","6400","TEN@IND","TEN","IND","","","",""
"16939-22288","WR","Cole","","Beasley","11.322222391764322","9","6400","BAL@DAL","DAL","BAL","","","",""
"16939-24755","WR","Jamison","","Crowder","12.366667005750868","9","6300","GB@WAS","WAS","GB","","","",""
"16939-70324","QB","Carson","","Wentz","13.16000027126736","9","6300","PHI@SEA","PHI","SEA","","","",""
"16939-6840","RB","Frank","","Gore","14.022221883138021","9","6300","TEN@IND","IND","TEN","","","",""
"16939-33557","TE","Tyler","","Eifert","11.066666920979818","3","6300","BUF@CIN","CIN","BUF","","","",""
"16939-54607","RB","Terrance","","West","9.188888549804688","9","6200","BAL@DAL","BAL","DAL","","","",""
"16939-54684","RB","Isaiah","","Crowell","11.9","10","6200","PIT@CLE","CLE","PIT","","","",""
"16939-22027","QB","Nick","","Foles","14","2","6200","TB@KC","KC","TB","","","",""
"16939-33076","TE","Travis","","Kelce","9.733333163791233","9","6100","TB@KC","KC","TB","","","",""
"16939-7859","WR","Julian","","Edelman","8.399999830457899","9","6100","NE@SF","NE","SF","Q","Foot","",""
"16939-29715","QB","Kevin","","Hogan","6.21999994913737","3","6000","PIT@CLE","CLE","PIT","","","",""
"16939-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","NE@SF","NE","SF","","","",""
"16939-14704","WR","Chris","","Hogan","6.533333248562283","9","6000","NE@SF","NE","SF","O","Back","",""
"16939-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","NE@SF","NE","SF","IR","Thumb","",""
"16939-38435","QB","Jared","","Goff","0","0","6000","MIA@LA","LA","MIA","","","",""
"16939-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","ARI@MIN","ARI","MIN","","","",""
"16939-6739","WR","DeSean","","Jackson","7.824999809265137","8","6000","GB@WAS","WAS","GB","Q","Shoulder","",""
"16939-7778","QB","Matt","","Cassel","0.25","2","6000","TEN@IND","TEN","IND","","","",""
"16939-22163","WR","Rishard","","Matthews","10.230000305175782","10","6000","TEN@IND","TEN","IND","","","",""
"16939-6844","QB","Shaun","","Hill","10.239999771118164","1","6000","ARI@MIN","MIN","ARI","","","",""
"16939-7872","QB","Brian","","Hoyer","13.266666412353516","6","6000","CHI@NYG","CHI","NYG","IR","Forearm","",""
"16939-25290","RB","Giovani","","Bernard","10.466666327582466","9","6000","BUF@CIN","CIN","BUF","","","",""
"16939-32514","QB","Trevone","","Boykin","5.400000095367432","1","6000","PHI@SEA","SEA","PHI","","","",""
"16939-27405","QB","Landry","","Jones","3.484999895095825","4","6000","PIT@CLE","PIT","CLE","","","",""
"16939-7970","QB","Charlie","","Whitehurst","10.380000114440918","1","6000","PIT@CLE","CLE","PIT","","","",""
"16939-25410","QB","Mike","","Glennon","9","1","6000","TB@KC","TB","KC","","","",""
"16939-14194","QB","Blaine","","Gabbert","15.539999389648438","5","6000","NE@SF","SF","NE","","","",""
"16939-29605","QB","Matt","","Barkley","1.1399999856948853","1","6000","CHI@NYG","CHI","NYG","","","",""
"16939-14267","QB","Ryan","","Mallett","0.029999999329447746","2","6000","BAL@DAL","BAL","DAL","","","",""
"16939-28930","RB","James","","White","8.299999660915798","9","5900","NE@SF","NE","SF","","","",""
"16939-31047","QB","AJ","","McCarron","8.17999976021903","7","5900","BUF@CIN","CIN","BUF","","","",""
"16939-54606","WR","John","","Brown","7.5","8","5900","ARI@MIN","ARI","MIN","","","",""
"16939-31397","RB","Jeremy","","Hill","11.299999660915798","9","5900","BUF@CIN","CIN","BUF","","","",""
"16939-39716","WR","Adam","","Thielen","8.266666836208767","9","5900","ARI@MIN","MIN","ARI","","","",""
"16939-27457","WR","Kenny","","Stills","7.888888888888889","9","5900","MIA@LA","MIA","LA","Q","Calf","",""
"16939-27477","WR","Sterling","","Shepard","9.566666497124565","9","5900","CHI@NYG","NYG","CHI","","","",""
"16939-14317","TE","Julius","","Thomas","8.050000190734863","8","5900","JAC@DET","JAC","DET","","","",""
"16939-24641","WR","Sammy","","Watkins","4.650000095367432","2","5800","BUF@CIN","BUF","CIN","IR","Foot","",""
"16939-30837","WR","Jordan","","Matthews","11.11111111111111","9","5800","PHI@SEA","PHI","SEA","Q","Back","",""
"16939-34154","WR","J.J.","","Nelson","6.5","7","5800","ARI@MIN","ARI","MIN","","","",""
"16939-14757","RB","Matt","","Asiata","7.333333333333333","9","5800","ARI@MIN","MIN","ARI","","","",""
"16939-33260","WR","DeVante","","Parker","7.699999809265137","8","5800","MIA@LA","MIA","LA","","","",""
"16939-6774","WR","Pierre","","Garcon","8.299999660915798","9","5700","GB@WAS","WAS","GB","","","",""
"16939-62538","WR","Cameron","","Meredith","8.742857251848493","7","5600","CHI@NYG","CHI","NYG","","","",""
"16939-54782","TE","Cameron","","Brate","9.444444444444445","9","5600","TB@KC","TB","KC","","","",""
"16939-30237","RB","Mike","","Gillislee","7.0444446139865455","9","5600","BUF@CIN","BUF","CIN","","","",""
"16939-8052","RB","Rashad","","Jennings","8.083333333333334","6","5600","CHI@NYG","NYG","CHI","","","",""
"16939-11425","RB","Ryan","","Mathews","11.166666666666666","9","5500","PHI@SEA","PHI","SEA","","","",""
"16939-11500","QB","Colt","","McCoy","8.819999694824219","1","5500","GB@WAS","WAS","GB","","","",""
"16939-11609","RB","James","","Starks","4.820000076293946","5","5500","GB@WAS","GB","WAS","","","",""
"16939-33244","WR","Eli","","Rogers","8.583333333333334","6","5500","PIT@CLE","PIT","CLE","","","",""
"16939-6641","TE","Jason","","Witten","9.144444783528646","9","5500","BAL@DAL","DAL","BAL","","","",""
"16939-6735","WR","Steve","","Smith Sr.","10.528570992606026","7","5500","BAL@DAL","BAL","DAL","","","",""
"16939-6808","QB","Matt","","Moore","0.36000001430511475","1","5500","MIA@LA","MIA","LA","","","",""
"16939-7844","QB","Chad","","Henne","0","0","5500","JAC@DET","JAC","DET","","","",""
"16939-8050","TE","Zach","","Miller","9.166666666666666","9","5500","CHI@NYG","CHI","NYG","","","",""
"16939-25760","WR","Allen","","Hurns","8.233333163791233","9","5400","JAC@DET","JAC","DET","","","",""
"16939-54608","RB","Jerick","","McKinnon","5.275000095367432","8","5400","ARI@MIN","MIN","ARI","","","",""
"16939-31061","RB","T.J.","","Yeldon","8.288888719346788","9","5400","JAC@DET","JAC","DET","","","",""
"16939-54687","RB","Charcandrick","","West","4.537499904632568","8","5400","TB@KC","KC","TB","","","",""
"16939-53681","WR","Tyreek","","Hill","8.666666666666666","9","5400","TB@KC","KC","TB","","","",""
"16939-11864","RB","Chris","","Ivory","5.471428462437221","7","5400","JAC@DET","JAC","DET","","","",""
