"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16998-20992","PF","Larry","","Nance Jr.","16.233333587646484","12","3600","CHI@LAL","LAL","CHI","","","",""
"16998-55055","PG","Dante","","Exum","13.021428789411273","14","3600","UTA@DEN","UTA","DEN","","","",""
"16998-40209","C","Joffrey","","Lauvergne","10.190908952192826","11","3600","IND@OKC","OKC","IND","","","",""
"16998-23831","SF","Jerami","","Grant","12.408332824707031","12","3600","IND@OKC","OKC","IND","","","",""
"16998-66108","PG","Jamal","","Murray","12.15000025431315","12","3600","UTA@DEN","DEN","UTA","","","",""
"16998-18256","SF","Doug","","McDermott","15.977778116861979","9","3600","CHI@LAL","CHI","LAL","O","Concussion","",""
"16998-12424","C","Timofey","","Mozgov","15.84999974568685","12","3600","CHI@LAL","LAL","CHI","","","",""
"16998-16293","SG","Norman","","Powell","10.936363913796164","11","3600","TOR@SAC","TOR","SAC","","","",""
"16998-19456","PG","Isaiah","","Canaan","11.292307927058292","13","3500","CHI@LAL","CHI","LAL","","","",""
"16998-66048","SF","Brandon","","Ingram","13.823076688326323","13","3500","CHI@LAL","LAL","CHI","","","",""
"16998-9731","C","Kosta","","Koufos","13.530768761268028","13","3500","TOR@SAC","SAC","TOR","","","",""
"16998-9734","SF","Mike","","Miller","4.466666539510091","3","3500","UTA@DEN","DEN","UTA","GTD","Personal","",""
"16998-58378","C","Jakob","","Poeltl","11.300000190734863","8","3500","TOR@SAC","TOR","SAC","","","",""
"16998-40206","SG","Alex","","Abrines","6.875","12","3500","IND@OKC","OKC","IND","","","",""
"16998-23823","PF","Willie","","Cauley-Stein","8.9272724498402","11","3500","TOR@SAC","SAC","TOR","","","",""
"16998-40208","PG","Raul","","Neto","1.100000023841858","4","3500","UTA@DEN","UTA","DEN","","","",""
"16998-66064","SG","Malik","","Beasley","3.4799999237060546","5","3500","UTA@DEN","DEN","UTA","","","",""
"16998-55058","SF","Bruno","","Caboclo","1.4833332697550456","6","3500","TOR@SAC","TOR","SAC","","","",""
"16998-9507","SG","Arron","","Afflalo","13.876922607421875","13","3500","TOR@SAC","SAC","TOR","","","",""
"16998-9514","SG","Rodney","","Stuckey","4.333333333333333","3","3500","IND@OKC","IND","OKC","","","",""
"16998-12335","PF","Kevin","","Seraphin","8.480000305175782","10","3500","IND@OKC","IND","OKC","GTD","Ankle","",""
"16998-9529","SG","Anthony","","Morrow","3.8000000544956754","7","3500","IND@OKC","OKC","IND","","","",""
"16998-66109","PF","Skal","","Labissiere","11.600000381469727","1","3500","TOR@SAC","SAC","TOR","","","",""
"16998-9534","PG","Aaron","","Brooks","12.009999847412109","10","3500","IND@OKC","IND","OKC","","","",""
"16998-16191","SF","Josh","","Huestis","5.8","5","3500","IND@OKC","OKC","IND","","","",""
"16998-11074","PG","Garrett","","Temple","12.3999997652494","13","3500","TOR@SAC","SAC","TOR","","","",""
"16998-16202","C","Rakeem","","Christmas","2.700000047683716","1","3500","IND@OKC","IND","OKC","","","",""
"16998-9568","SF","Metta","","World Peace","1.2999999523162842","4","3500","CHI@LAL","LAL","CHI","","","",""
"16998-11104","SF","Alonzo","","Gee","1.350000023841858","2","3500","UTA@DEN","DEN","UTA","","","",""
"16998-9580","PF","Darrell","","Arthur","5.650000095367432","2","3500","UTA@DEN","DEN","UTA","","","",""
"16998-23148","PG","Semaj","","Christon","9.446154080904448","13","3500","IND@OKC","OKC","IND","","","",""
"16998-15727","SG","Ben","","McLemore","10.763636502352627","11","3500","TOR@SAC","SAC","TOR","","","",""
"16998-15730","PF","Thomas","","Robinson","2.449999968210856","6","3500","CHI@LAL","LAL","CHI","","","",""
"16998-23156","SF","Georges","","Niang","3.112499952316284","8","3500","IND@OKC","IND","OKC","","","",""
"16998-15736","C","Jeff","","Withey","5.520000076293945","10","3500","UTA@DEN","UTA","DEN","","","",""
"16998-9609","C","Al","","Jefferson","13.938461303710938","13","3500","IND@OKC","IND","OKC","","","",""
"16998-18828","SG","Joe","","Young","5.1200000762939455","10","3500","IND@OKC","IND","OKC","","","",""
"16998-23189","PF","Joel","","Bolomboy","3.1","5","3500","UTA@DEN","UTA","DEN","","","",""
"16998-66203","SG","Malachi","","Richardson","1.5","2","3500","TOR@SAC","SAC","TOR","","","",""
"16998-70821","C","Georgios","","Papagiannis","2.200000047683716","1","3500","TOR@SAC","SAC","TOR","","","",""
"16998-70822","PF","Juancho","","Hernangomez","8.35","10","3500","UTA@DEN","DEN","UTA","","","",""
"16998-70827","C","Ivica","","Zubac","5.066666603088379","3","3500","CHI@LAL","LAL","CHI","GTD","Ankle","",""
"16998-42156","PF","Bobby","","Portis","9.40000025431315","12","3500","CHI@LAL","CHI","LAL","","","",""
"16998-9649","PF","Nick","","Collison","1.7799999237060546","5","3500","IND@OKC","OKC","IND","","","",""
"16998-70832","SF","Paul","","Zipser","2.779999923706055","5","3500","CHI@LAL","CHI","LAL","GTD","Back","",""
"16998-17332","C","Tarik","","Black","13.030768761268028","13","3500","CHI@LAL","LAL","CHI","","","",""
"16998-59318","SF","Joe","","Ingles","9.349999564034599","14","3500","UTA@DEN","UTA","DEN","","","",""
"16998-24247","PG","Fred","","VanVleet","0","1","3500","TOR@SAC","TOR","SAC","","","",""
"16998-9920","PF","Anthony","","Tolliver","6.5","7","3500","TOR@SAC","SAC","TOR","","","",""
"16998-14529","PG","Cory","","Joseph","12.983333587646484","12","3500","TOR@SAC","TOR","SAC","","","",""
"16998-14532","SF","Kyle","","Singler","4.477777693006727","9","3500","IND@OKC","OKC","IND","","","",""
"16998-23248","SG","R.J.","","Hunter","0","1","3500","CHI@LAL","CHI","LAL","","","",""
"16998-14549","PF","Lavoy","","Allen","8.392307574932392","13","3500","IND@OKC","IND","OKC","","","",""
"16998-66521","PG","Marcelo","","Huertas","6.933333079020183","3","3500","CHI@LAL","LAL","CHI","","","",""
"16998-59358","PF","Domantas","","Sabonis","13.530768761268028","13","3500","IND@OKC","OKC","IND","","","",""
"16998-24546","SG","Denzel","","Valentine","3.533333248562283","9","3500","CHI@LAL","CHI","LAL","","","",""
"16998-9960","PF","Omri","","Casspi","8.549999872843424","6","3500","TOR@SAC","SAC","TOR","","","",""
"16998-9712","PG","Jose","","Calderon","5.100000063578288","6","3500","CHI@LAL","LAL","CHI","","","",""
"16998-63478","C","Cristiano","","Felicio","7.366667005750868","9","3500","CHI@LAL","CHI","LAL","","","",""
"16998-23800","SF","Glenn","","Robinson III","7.527273004705256","11","3500","IND@OKC","IND","OKC","","","",""
"16998-9471","PF","Boris","","Diaw","4.05999984741211","5","3500","UTA@DEN","UTA","DEN","","","",""
